step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,4098,2,0.30888964844437283,0.0,0.7106382978723405,0.3354797438061572,0.5,0.875,,
2,8196,4,0.22876675252834075,0.0,0.7925531914893617,,,,,
3,12294,6,0.35140785965140425,0.0,0.7920353982300885,,,,,
4,16392,8,0.20585643185678032,0.0,0.7429906542056075,,,,,
5,20490,10,0.19969972815596204,0.0,0.8309859154929577,,,,,
6,24588,12,0.20482162874695745,0.0,0.797752808988764,,,,,
7,28686,14,0.19375381447353485,0.0,0.772093023255814,,,,,
8,32784,16,0.19397637747912097,0.0,0.8465346534653465,,,,,
9,36882,18,0.20296337110041868,0.0,0.794392523364486,,,,,
10,40980,20,0.18309317852075446,0.0,0.8325581395348837,,,,,
11,45078,22,0.17340565307260236,0.0,0.8142857142857143,,,,,
12,49176,24,0.18011133383492184,0.0,0.8734177215189873,,,,,
13,53274,26,0.16976270701967067,0.0,0.8151658767772512,,,,,
14,57372,28,0.18322477631997972,0.0,0.8274509803921568,,,,,
15,61470,30,0.17394165628181957,0.0,0.8114754098360656,,,,,
16,65568,32,0.16949349295225621,0.0,0.820627802690583,,,,,
17,69666,34,0.1748478907306374,0.0,0.8371040723981901,,,,,
18,73764,36,0.17501821168350268,0.0,0.819047619047619,,,,,
19,77862,38,0.17394217130292539,0.0,0.8356164383561644,,,,,
20,81960,40,0.16919869915396923,0.0,0.780952380952381,,,,,
21,86058,42,0.1727030166400747,0.0,0.811965811965812,,,,,
22,90156,44,0.1774171016729713,0.0,0.7963800904977375,,,,,
23,94254,46,0.16503044665048827,0.0,0.8309859154929577,,,,,
24,98352,48,0.16245281707738968,0.0,0.8300970873786407,,,,,
25,102450,50,0.165657374183727,0.0,0.8181818181818182,,,,,
26,106548,52,0.17234677722205313,0.0,0.8027522935779816,,,,,
27,110646,54,0.17198009229815553,0.0,0.8028846153846154,,,,,
28,114744,56,0.17197052227173476,0.0,0.7841409691629956,,,,,
29,118842,58,0.15570408424826118,0.0,0.7901785714285714,,,,,
30,122940,60,0.15497848850520696,0.0,0.8446601941747572,,,,,
31,127038,62,0.1688635403820737,0.0,0.821256038647343,,,,,
32,131136,64,0.15916986236950892,0.0,0.8428571428571429,,,,,
33,135234,66,0.1533926356724678,0.0,0.8076923076923077,,,,,
34,139332,68,0.1727585498632534,0.0,0.8064516129032258,,,,,
35,143430,70,0.15714441921887692,0.0,0.7927927927927928,,,,,
36,147528,72,0.16255584463869222,0.0,0.7777777777777778,,,,,
37,151626,74,0.159411014896862,0.0,0.8425925925925926,,,,,
38,155724,76,0.1624379262230271,0.0,0.8369098712446352,,,,,
39,159822,78,0.14537107772008973,0.0,0.8388625592417062,,,,,
40,163920,80,0.15582515092277802,0.0,0.8148148148148148,,,,,
41,168018,82,0.14774408564761607,0.0,0.8405797101449275,,,,,
42,172116,84,0.14822140991025573,0.0,0.7889908256880734,,,,,
43,176214,86,0.16055954413815107,0.0,0.7990654205607477,,,,,
44,180312,88,0.1560327978623871,0.0,0.8169014084507042,,,,,
45,184410,90,0.16117869322250955,0.0,0.8285714285714286,,,,,
46,188508,92,0.14742883652389188,0.0,0.8248847926267281,,,,,
47,192606,94,0.14358889132262836,0.0,0.8394495412844036,,,,,
48,196704,96,0.14874785847430877,0.0,0.8192771084337349,,,,,
49,200802,98,0.1397768626907931,0.0,0.8111587982832618,,,,,
50,204900,100,0.13673926264757613,0.0,0.8229665071770335,,,,,
51,208998,102,0.15133151481841242,0.0,0.836,,,,,
52,213096,104,0.14844440667686895,0.0,0.8287037037037037,,,,,
53,217194,106,0.14845773223241032,0.0,0.8227848101265823,,,,,
54,221292,108,0.13848233981151742,0.0,0.8310502283105022,,,,,
55,225390,110,0.14106282777731313,0.0,0.8269230769230769,,,,,
56,229488,112,0.1474130498611113,0.0,0.8398058252427184,,,,,
57,233586,114,0.14111173184600717,0.0,0.8457446808510638,,,,,
58,237684,116,0.15610518720591585,0.0,0.8245614035087719,,,,,
59,241782,118,0.1456409512931692,0.0,0.8293650793650794,,,,,
60,245880,120,0.1444023088100782,0.0,0.8066037735849056,,,,,
61,249978,122,0.14264336453941048,0.0,0.8194444444444444,,,,,
62,254076,124,0.13670575679104938,0.0,0.8429319371727748,,,,,
63,258174,126,0.14921392689878984,0.0,0.8260869565217391,,,,,
64,262272,128,0.1524825711019837,0.0,0.8293650793650794,,,,,
65,266370,130,0.15206502652366005,0.0,0.820627802690583,,,,,
66,270468,132,0.13566768040597593,0.0,0.8138528138528138,,,,,
67,274566,134,0.14671095758488986,0.0,0.7912621359223301,,,,,
68,278664,136,0.15709907452740218,0.0,0.7777777777777778,,,,,
69,282762,138,0.14176868623050504,0.0,0.8599033816425121,,,,,
70,286860,140,0.145901902330829,0.0,0.821917808219178,,,,,
71,290958,142,0.14680674398680393,0.0,0.821256038647343,,,,,
72,295056,144,0.13182171677335225,0.0,0.8563829787234043,0.08498612455283087,1.0,1.0,,
73,299154,146,0.13200492719299067,0.0,0.8928571428571429,,,,,
74,303252,148,0.15612346367710447,0.0,0.812807881773399,,,,,
75,307350,150,0.1330943618614454,0.0,0.8646288209606987,,,,,
76,311448,152,0.13482863461723285,0.0,0.8640776699029126,,,,,
77,315546,154,0.12584992442645415,0.0,0.8148148148148148,,,,,
78,319644,156,0.13216633117963128,0.0,0.8557692307692307,,,,,
79,323742,158,0.13770905856513416,0.0,0.8385416666666666,,,,,
80,327840,160,0.13582125562838246,0.0,0.8301886792452831,,,,,
81,331938,162,0.14467184346873954,0.0,0.8734177215189873,,,,,
82,336036,164,0.1433729770019996,0.0,0.8309859154929577,,,,,
83,340134,166,0.14729561993800994,0.0,0.8341232227488151,,,,,
84,344232,168,0.1304803945720257,0.0,0.8428571428571429,,,,,
85,348330,170,0.13152652666558473,0.0,0.8524590163934426,,,,,
86,352428,172,0.12922880412263735,0.0,0.8626609442060086,,,,,
87,356526,174,0.1467811143857854,0.0,0.839622641509434,,,,,
88,360624,176,0.14014112770465148,0.0,0.8687782805429864,,,,,
89,364722,178,0.12599995925806728,0.0,0.8846153846153846,,,,,
90,368820,180,0.13112767786504248,0.0,0.8977777777777778,,,,,
91,372918,182,0.13098130381529174,0.0,0.875,,,,,
92,377016,184,0.12647646066957607,0.0,0.8620689655172413,,,,,
93,381114,186,0.13241642251294672,0.0,0.8809523809523809,,,,,
94,385212,188,0.11497323070798576,0.0,0.8509615384615384,,,,,
95,389310,190,0.13272372867091875,0.0,0.8780487804878049,,,,,
96,393408,192,0.1351932934980762,0.0,0.8973214285714286,,,,,
97,397506,194,0.12231003710257853,0.0,0.8709677419354839,,,,,
98,401604,196,0.11295006914203684,0.0,0.8725490196078431,,,,,
99,405702,198,0.12513041059430352,0.0,0.8497652582159625,,,,,
100,409800,200,0.11936293673110912,0.0,0.8608695652173913,,,,,
101,413898,202,0.11678336089634084,0.0,0.8421052631578947,,,,,
102,417996,204,0.12946436919633203,0.0,0.8959276018099548,,,,,
103,422094,206,0.12891492565400828,0.0,0.8938053097345132,,,,,
104,426192,208,0.13108332612310022,0.0,0.8744186046511628,,,,,
105,430290,210,0.13017269778615745,0.0,0.8792270531400966,,,,,
106,434388,212,0.13576877936546128,0.0,0.8673469387755102,,,,,
107,438486,214,0.11829794998930934,0.0,0.8706467661691543,,,,,
108,442584,216,0.12792467693390705,0.0,0.9095022624434389,,,,,
109,446682,218,0.11563143892815596,0.0,0.8973214285714286,,,,,
110,450780,220,0.1335550234792446,0.0,0.8640776699029126,,,,,
111,454878,222,0.12377885409523244,0.0,0.8533333333333334,,,,,
112,458976,224,0.12095984556445279,0.0,0.8894230769230769,,,,,
113,463074,226,0.11624721837686125,0.0,0.9493087557603687,,,,,
114,467172,228,0.10454267895893779,0.0,0.9076923076923077,,,,,
115,471270,230,0.11285338338705062,0.0,0.8810572687224669,,,,,
116,475368,232,0.11234416402611015,0.0,0.9038461538461539,,,,,
117,479466,234,0.11255990160040613,0.0,0.9017857142857143,,,,,
118,483564,236,0.11678932667252932,0.0,0.8669724770642202,,,,,
119,487662,238,0.1230997008680681,0.0,0.8984771573604061,,,,,
120,491760,240,0.1399898007835963,0.0,0.8864628820960698,,,,,
121,495858,242,0.12900691975793593,0.0,0.8786407766990292,,,,,
122,499956,244,0.1215115764109286,0.0,0.8585365853658536,,,,,
123,504054,246,0.12863060080357036,0.0,0.8739130434782608,,,,,
124,508152,248,0.11020629065670655,0.0,0.9119170984455959,,,,,
125,512250,250,0.11664750269734024,0.0,0.8743455497382199,,,,,
126,516348,252,0.12269815440816129,0.0,0.911504424778761,,,,,
127,520446,254,0.1300616553094793,0.0,0.9191489361702128,,,,,
128,524544,256,0.12445675156004712,0.0,0.9477911646586346,,,,,
129,528642,258,0.11777265236215113,0.0,0.9111111111111111,,,,,
130,532740,260,0.11335165369636062,0.0,0.9451476793248945,,,,,
131,536838,262,0.10711177578323916,0.0,0.9292035398230089,,,,,
132,540936,264,0.10858013457615248,0.0,0.9446808510638298,,,,,
133,545034,266,0.10560232425180202,0.0,0.9405940594059405,,,,,
134,549132,268,0.1187362441761878,0.0,0.9469026548672567,,,,,
135,553230,270,0.10093461403836483,0.0,0.946078431372549,,,,,
136,557328,272,0.11499338184633212,0.0,0.9234449760765551,,,,,
137,561426,274,0.10933219359488444,0.0,0.8995433789954338,,,,,
138,565524,276,0.10638734487413526,0.0,0.9178743961352657,,,,,
139,569622,278,0.11109523065573182,0.0,0.9569377990430622,,,,,
140,573720,280,0.1298268061513143,0.0,0.9173913043478261,,,,,
141,577818,282,0.11246115048733715,0.0,0.898989898989899,,,,,
142,581916,284,0.10591770218448653,0.0,0.9344262295081968,,,,,
143,586014,286,0.11513646137321659,0.0,0.9414634146341463,0.14607606828151518,1.0,1.0,,
144,590112,288,0.10949240776973836,0.0,0.9357798165137615,,,,,
145,594210,290,0.12617896587238728,0.0,0.8899082568807339,,,,,
146,598308,292,0.10547369343205276,0.0,0.9285714285714286,,,,,
147,602406,294,0.10472996134342732,0.0,0.93048128342246,,,,,
148,606504,296,0.1134580396029573,0.0,0.8934010152284264,,,,,
149,610602,298,0.1109298712577845,0.0,0.9033816425120773,,,,,
150,614700,300,0.09427936596717695,0.0,0.9435897435897436,,,,,
151,618798,302,0.11489234224092641,0.0,0.953125,,,,,
152,622896,304,0.11376329764049087,0.0,0.9437229437229437,,,,,
153,626994,306,0.11308815209048853,0.0,0.9070796460176991,,,,,
154,631092,308,0.10952624576954587,0.0,0.9555555555555556,,,,,
155,635190,310,0.11374084716081936,0.0,0.9243697478991597,,,,,
156,639288,312,0.10686911069390681,0.0,0.9234449760765551,,,,,
157,643386,314,0.10144774621782612,0.0,0.9396984924623115,,,,,
158,647484,316,0.0952104453650452,0.0,0.9319371727748691,,,,,
159,651582,318,0.105723874568408,0.0,0.958904109589041,,,,,
160,655680,320,0.10983054851261934,0.0,0.95,,,,,
161,659778,322,0.11193601561369385,0.0,0.9497716894977168,,,,,
162,663876,324,0.1010067053780622,0.0,0.9414414414414415,,,,,
163,667974,326,0.1171788388876289,0.0,0.9453781512605042,,,,,
164,672072,328,0.12230463553945464,0.0,0.9585062240663901,,,,,
165,676170,330,0.11483837382669551,0.0,0.9452054794520548,,,,,
166,680268,332,0.09632779953754358,0.0,0.9405940594059405,,,,,
167,684366,334,0.10341859263489514,0.0,0.92,,,,,
168,688464,336,0.09970976842897294,0.0,0.925,,,,,
169,692562,338,0.09040636473157587,0.0,0.9528301886792453,,,,,
170,696660,340,0.10276872803471099,0.0,0.9259259259259259,,,,,
171,700758,342,0.10597872345285211,0.0,0.9178082191780822,,,,,
172,704856,344,0.12090071765840865,0.0,0.948936170212766,,,,,
173,708954,346,0.09974970741267675,0.0,0.954954954954955,,,,,
174,713052,348,0.08477024479619347,0.0,0.9380952380952381,,,,,
175,717150,350,0.11699525833284016,0.0,0.9252336448598131,,,,,
176,721248,352,0.09893932860964905,0.0,0.9269406392694064,,,,,
177,725346,354,0.10496720415934636,0.0,0.9292929292929293,,,,,
178,729444,356,0.10565922080327345,0.0,0.9333333333333333,,,,,
179,733542,358,0.10602699893104578,0.0,0.9516908212560387,,,,,
180,737640,360,0.09720412276146828,0.0,0.9471153846153846,,,,,
181,741738,362,0.09900700237007967,0.0,0.9345794392523364,,,,,
182,745836,364,0.11047607556899165,0.0,0.9154228855721394,,,,,
183,749934,366,0.10419120884423522,0.0,0.9569377990430622,,,,,
184,754032,368,0.09978773881299666,0.0,0.95,,,,,
185,758130,370,0.11498242461375145,0.0,0.9424778761061947,,,,,
186,762228,372,0.11059200045208836,0.0,0.9424778761061947,,,,,
187,766326,374,0.10645453830241197,0.0,0.9241071428571429,,,,,
188,770424,376,0.11817034049275726,0.0,0.9551020408163265,,,,,
189,774522,378,0.08820153259782507,0.0,0.9282296650717703,,,,,
190,778620,380,0.09847838591125685,0.0,0.9078341013824884,,,,,
191,782718,382,0.08870050755196203,0.0,0.923469387755102,,,,,
192,786816,384,0.10875921641743372,0.0,0.9049773755656109,,,,,
193,790914,386,0.09661864770877188,0.0,0.8980582524271845,,,,,
194,795012,388,0.12085215314460891,0.0,0.9317073170731708,,,,,
195,799110,390,0.09393100851882918,0.0,0.9408866995073891,,,,,
196,803208,392,0.10508748998011427,0.0,0.9288888888888889,,,,,
197,807306,394,0.09616077483882826,0.0,0.9154929577464789,,,,,
198,811404,396,0.11467753325190974,0.0,0.9241071428571429,,,,,
199,815502,398,0.09941777360456902,0.0,0.926605504587156,,,,,
200,819600,400,0.1002012227187066,0.0,0.9399141630901288,,,,,
201,823698,402,0.09859675264594749,0.0,0.9488372093023256,,,,,
202,827796,404,0.09030205354111198,0.0,0.9435897435897436,,,,,
203,831894,406,0.12446977051573162,0.0,0.9198473282442748,,,,,
204,835992,408,0.0999914447189284,0.0,0.9342105263157895,,,,,
205,840090,410,0.11215453109288365,0.0,0.9517543859649122,,,,,
206,844188,412,0.10179063351431868,0.0,0.9594594594594594,,,,,
