step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,2049,1,0.3314065885889659,0.0,0.7337278106508875,0.32301457792003935,0.0,0.6666666666666666,,
2,4098,2,0.2878343234049806,0.0,0.7292817679558011,,,,,
3,6147,3,0.3156654732994829,0.0,0.8100558659217877,,,,,
4,8196,4,0.32835248027474717,0.0,0.8044692737430168,,,,,
5,10245,5,0.2842335916615631,0.0,0.8228571428571428,,,,,
6,12294,6,0.2370074508652448,0.0,0.8287292817679558,,,,,
7,14343,7,0.20024681326254912,0.0,0.8275862068965517,,,,,
8,16392,8,0.2084315741449693,0.0,0.8072916666666666,,,,,
9,18441,9,0.19440610420316873,0.0,0.8352272727272727,,,,,
10,20490,10,0.2039737722382003,0.0,0.8279569892473119,,,,,
11,22539,11,0.20142817325866702,0.0,0.8074866310160428,,,,,
12,24588,12,0.20718477939620367,0.0,0.8103448275862069,,,,,
13,26637,13,0.1785490302000668,0.0,0.8225806451612904,,,,,
14,28686,14,0.19490122346013705,0.0,0.7967914438502673,,,,,
15,30735,15,0.17720200378389434,0.0,0.8439306358381503,,,,,
16,32784,16,0.17951803625886298,0.0,0.8282208588957055,,,,,
17,34833,17,0.177401903908568,0.0,0.8465909090909091,,,,,
18,36882,18,0.18925275629887384,0.0,0.7865168539325843,,,,,
19,38931,19,0.1826925326577108,0.0,0.7976878612716763,,,,,
20,40980,20,0.18744331808372816,0.0,0.7797619047619048,,,,,
21,43029,21,0.1813840824172674,0.0,0.8143712574850299,,,,,
22,45078,22,0.1831809752188834,0.0,0.8111111111111111,,,,,
23,47127,23,0.1794520451916808,0.0,0.8260869565217391,,,,,
24,49176,24,0.1791307837157995,0.0,0.8089887640449438,,,,,
25,51225,25,0.17442833751392567,0.0,0.8068181818181818,,,,,
26,53274,26,0.1805137374671634,0.0,0.8295454545454546,,,,,
27,55323,27,0.17498921465947861,0.0,0.8089887640449438,,,,,
28,57372,28,0.17517225730971547,0.0,0.8064516129032258,,,,,
29,59421,29,0.1702793971979042,0.0,0.8586956521739131,,,,,
30,61470,30,0.19252501651568188,0.0,0.798941798941799,,,,,
