step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,2049,1,0.2962705208299474,0.0,0.6190476190476191,0.28190037856125294,0.0,0.6666666666666666,,
2,4098,2,0.200317829416131,0.0,0.8939393939393939,,,,,
3,6147,3,0.20088308184591375,0.0,0.803030303030303,,,,,
4,8196,4,0.2167318524951796,0.0,0.7638888888888888,,,,,
5,10245,5,0.19491204553044872,0.0,0.8656716417910447,,,,,
6,12294,6,0.1970927141582538,0.0,0.8412698412698413,,,,,
7,14343,7,0.19004314771411057,0.0,0.7857142857142857,,,,,
8,16392,8,0.17459437401182604,0.0,0.8309859154929577,,,,,
9,18441,9,0.18694091889032077,0.0,0.8235294117647058,,,,,
10,20490,10,0.19537201395914916,0.0,0.7878787878787878,,,,,
11,22539,11,0.17693621078252816,0.0,0.821917808219178,,,,,
12,24588,12,0.16847144534172923,0.0,0.8235294117647058,,,,,
13,26637,13,0.16512507342076477,0.0,0.8428571428571429,,,,,
14,28686,14,0.18052084895232395,0.0,0.8405797101449275,,,,,
15,30735,15,0.17039637947781616,0.0,0.8181818181818182,,,,,
16,32784,16,0.15818726566382973,0.0,0.8153846153846154,,,,,
17,34833,17,0.17661136421135654,0.0,0.8260869565217391,,,,,
18,36882,18,0.15972242573974418,0.0,0.8382352941176471,,,,,
19,38931,19,0.1876943539498197,0.0,0.8382352941176471,,,,,
20,40980,20,0.17772824607442217,0.0,0.7580645161290323,,,,,
21,43029,21,0.1786896160305065,0.0,0.7878787878787878,,,,,
22,45078,22,0.15581311515076018,0.0,0.8333333333333334,,,,,
23,47127,23,0.17118567650622118,0.0,0.8484848484848485,,,,,
24,49176,24,0.1734051110863588,0.0,0.8307692307692308,,,,,
25,51225,25,0.16848627077350414,0.0,0.8153846153846154,,,,,
26,53274,26,0.14992321252372576,0.0,0.8260869565217391,,,,,
27,55323,27,0.16046584584410906,0.0,0.8309859154929577,,,,,
28,57372,28,0.15535628132287743,0.0,0.8059701492537313,,,,,
29,59421,29,0.13383718764173222,0.0,0.819672131147541,,,,,
30,61470,30,0.16462045166435774,0.0,0.76,,,,,
31,63519,31,0.14099159856062432,0.0,0.8548387096774194,,,,,
32,65568,32,0.16630582842972946,0.0,0.8260869565217391,,,,,
33,67617,33,0.1642862847594866,0.0,0.8382352941176471,,,,,
34,69666,34,0.14719413378258173,0.0,0.8115942028985508,,,,,
35,71715,35,0.15163213292337868,0.0,0.8852459016393442,,,,,
36,73764,36,0.17026815390673583,0.0,0.8656716417910447,,,,,
37,75813,37,0.16538682964646714,0.0,0.8142857142857143,,,,,
38,77862,38,0.14815062035202825,0.0,0.8636363636363636,,,,,
39,79911,39,0.17282837688376593,0.0,0.8591549295774648,,,,,
40,81960,40,0.1470621208158672,0.0,0.7971014492753623,,,,,
41,84009,41,0.17951620750708908,0.0,0.8115942028985508,,,,,
42,86058,42,0.15581721578276597,0.0,0.7692307692307693,,,,,
43,88107,43,0.1483658586031162,0.0,0.8260869565217391,,,,,
44,90156,44,0.15890810764271926,0.0,0.8125,,,,,
45,92205,45,0.13032265897491102,0.0,0.8769230769230769,,,,,
46,94254,46,0.1455560053860969,0.0,0.8382352941176471,,,,,
47,96303,47,0.12935333050330827,0.0,0.8923076923076924,,,,,
48,98352,48,0.14661118727074307,0.0,0.8805970149253731,,,,,
49,100401,49,0.15436985660224428,0.0,0.8615384615384616,,,,,
50,102450,50,0.14019459698262776,0.0,0.8088235294117647,,,,,
51,104499,51,0.13682746468118132,0.0,0.8656716417910447,,,,,
52,106548,52,0.12789164178597673,0.0,0.8133333333333334,,,,,
53,108597,53,0.13894028256247734,0.0,0.8571428571428571,,,,,
54,110646,54,0.13474006458337556,0.0,0.7540983606557377,,,,,
55,112695,55,0.13434134958909988,0.0,0.8405797101449275,,,,,
56,114744,56,0.12413878796622885,0.0,0.8461538461538461,,,,,
57,116793,57,0.12153251307170379,0.0,0.8405797101449275,,,,,
58,118842,58,0.14035684135796456,0.0,0.8484848484848485,,,,,
59,120891,59,0.145123098819553,0.0,0.8688524590163934,,,,,
60,122940,60,0.14159230009363283,0.0,0.8108108108108109,,,,,
61,124989,61,0.16287052284372375,0.0,0.8493150684931506,,,,,
62,127038,62,0.14457451711922595,0.0,0.7538461538461538,,,,,
63,129087,63,0.153432410144518,0.0,0.8461538461538461,,,,,
64,131136,64,0.1088665424500389,0.0,0.8260869565217391,,,,,
65,133185,65,0.15692881174849005,0.0,0.8382352941176471,,,,,
66,135234,66,0.15774262836753886,0.0,0.8636363636363636,,,,,
67,137283,67,0.1230627637580528,0.0,0.859375,,,,,
68,139332,68,0.11879436386719128,0.0,0.835820895522388,,,,,
69,141381,69,0.12089775255062578,0.0,0.8548387096774194,,,,,
70,143430,70,0.10613782787433329,0.0,0.873015873015873,,,,,
71,145479,71,0.12582068650852163,0.0,0.855072463768116,,,,,
72,147528,72,0.14318452532632409,0.0,0.8656716417910447,,,,,
73,149577,73,0.13009696908138493,0.0,0.8615384615384616,,,,,
74,151626,74,0.13595638795455908,0.0,0.8656716417910447,,,,,
75,153675,75,0.1187750918455802,0.0,0.8783783783783784,,,,,
76,155724,76,0.11030669282103174,0.0,0.8970588235294118,,,,,
77,157773,77,0.13287405322028076,0.0,0.8484848484848485,,,,,
78,159822,78,0.14345720300717135,0.0,0.8636363636363636,,,,,
79,161871,79,0.11210941460910079,0.0,0.8939393939393939,,,,,
80,163920,80,0.1312766381711616,0.0,0.8787878787878788,,,,,
81,165969,81,0.13713786142476003,0.0,0.8428571428571429,,,,,
