step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,2049,1,0.2665929487587764,0.0,0.0,0.2739523864034709,0.0,0.0,,,,,,
2,4098,2,0.207603583453154,0.0,0.5384615384615384,,,,,,,,,
3,6147,3,0.19520103065044736,0.0,0.16666666666666666,,,,,,,,,
4,8196,4,0.20734198989388847,0.0,0.6666666666666666,,,,,,,,,
5,10245,5,0.2010878703768667,0.0,0.5714285714285714,,,,,,,,,
6,12294,6,0.1720879497897454,0.0,0.625,,,,,,,,,
7,14343,7,0.2047417571921076,0.0,0.5714285714285714,,,,,,,,,
8,16392,8,0.17339012494348616,0.0,0.7142857142857143,,,,,,,,,
9,18441,9,0.1854028892432389,0.0,0.5555555555555556,,,,,,,,,
10,20490,10,0.21027773247375342,0.0,0.4375,,,,,,,,,
11,22539,11,0.18539623115980733,0.0,0.8,,,,,,,,,
12,24588,12,0.16985280702227093,0.0,0.6666666666666666,,,,,,,,,
13,26637,13,0.20491048571578677,0.0,0.5384615384615384,,,,,,,,,
14,28686,14,0.17802096623768973,0.0,0.7333333333333333,,,,,,,,,
15,30735,15,0.19537322568026547,0.0,0.5625,,,,,,,,,
16,32784,16,0.1875691745225208,0.0,0.6428571428571429,,,,,,,,,
17,34833,17,0.21153049109774608,0.0,0.5,,,,,,,,,
18,36882,18,0.18982586637259333,0.0,0.8666666666666667,,,,,,,,,
19,38931,19,0.1967332750730036,0.0,0.5333333333333333,,,,,,,,,
20,40980,20,0.17441832976544788,0.0,0.42857142857142855,,,,,,,,,
21,43029,21,0.16420156199360486,0.0,0.7333333333333333,,,,,,,,,
22,45078,22,0.20171029716862615,0.0,0.5454545454545454,,,,,,,,,
23,47127,23,0.19420763525908724,0.0,0.5555555555555556,,,,,,,,,
24,49176,24,0.20007665650802844,0.0,0.7692307692307693,,,,,,,,,
25,51225,25,0.17995047422758453,0.0,0.8,,,,,,,,,
26,53274,26,0.20854098677031285,0.0,0.6,,,,,,,,,
27,55323,27,0.18818824942284118,0.0,0.6,,,,,,,,,
28,57372,28,0.16641699591388692,0.0,0.7333333333333333,,,,,,,,,
29,59421,29,0.19539355575527984,0.0,0.875,,,,,,,,,
30,61470,30,0.20404446391070324,0.0,0.5,,,,,,,,,
31,63519,31,0.17461774406386962,0.0,0.5714285714285714,,,,,,,,,
32,65568,32,0.19332488983126234,0.0,0.5,,,,,,,,,
33,67617,33,0.19712557113270374,0.0,0.4117647058823529,,,,,,,,,
34,69666,34,0.19524237752352175,0.0,0.6428571428571429,,,,,,,,,
35,71715,35,0.20178576937111864,0.0,0.5714285714285714,,,,,,,,,
36,73764,36,0.22306227670912585,0.0,0.7333333333333333,,,,,,,,,
37,75813,37,0.2092515012545941,0.0,0.7142857142857143,,,,,,,,,
38,77862,38,0.19289280573498663,0.0,0.7857142857142857,,,,,,,,,
39,79911,39,0.217327696561985,0.0,0.5454545454545454,,,,,,,,,
40,81960,40,0.1999384622819117,0.0,0.5714285714285714,,,,,,,,,
41,84009,41,0.18872290757344784,0.0,0.7692307692307693,,,,,,,,,
42,86058,42,0.2018294338746144,1.0,1.0,,,,,,,,,
43,88107,43,0.18296883717287832,0.0,0.5714285714285714,,,,,,,,,
