step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,2049,1,0.36827270948905755,0.0,0.8160237388724035,0.3143353454312394,1.0,1.0,,
2,4098,2,0.3359832209346132,0.0,0.7395209580838323,,,,,
3,6147,3,0.44217444372600867,0.0,0.8362068965517241,,,,,
4,8196,4,0.4253646987416575,0.0,0.7885196374622356,,,,,
5,10245,5,0.3944387589776422,0.0,0.7899408284023669,,,,,
6,12294,6,0.32901561880029284,0.0,0.838150289017341,,,,,
7,14343,7,0.38786357012017186,0.0,0.7699115044247787,,,,,
8,16392,8,0.4030684397390064,0.0,0.7376093294460642,,,,,
9,18441,9,0.2834911515727788,0.0,0.8176470588235294,,,,,
10,20490,10,0.2330062570090387,0.0,0.8309037900874635,,,,,
11,22539,11,0.21104248634600492,0.0,0.8064516129032258,,,,,
12,24588,12,0.1824039450147363,0.0,0.8205882352941176,,,,,
13,26637,13,0.1931985989174887,0.0,0.8168604651162791,,,,,
14,28686,14,0.19098779233663363,0.0,0.8205882352941176,,,,,
15,30735,15,0.18114282180159508,0.0,0.8475609756097561,,,,,
16,32784,16,0.19959265349316258,0.0,0.8211143695014663,,,,,
17,34833,17,0.1856310665201797,0.0,0.8198198198198198,,,,,
18,36882,18,0.18615503176440387,0.0,0.8072289156626506,,,,,
19,38931,19,0.17593735080364614,0.0,0.8224852071005917,,,,,
20,40980,20,0.16666496122065794,0.0,0.7914285714285715,,,,,
21,43029,21,0.16836677717561122,0.0,0.8117647058823529,,,,,
22,45078,22,0.18335084398863022,0.0,0.8068535825545171,,,,,
23,47127,23,0.1718957487793478,0.0,0.8269794721407625,,,,,
24,49176,24,0.1668870015416746,0.0,0.8273809523809523,,,,,
25,51225,25,0.16635924430583943,0.0,0.8371428571428572,,,,,
26,53274,26,0.165788915781408,0.0,0.8179190751445087,,,,,
27,55323,27,0.17045649522050624,0.0,0.8130563798219584,,,,,
28,57372,28,0.17264930777052223,0.0,0.796969696969697,,,,,
29,59421,29,0.16109536885349762,0.0,0.860248447204969,,,,,
30,61470,30,0.18912908931007008,0.0,0.8219584569732937,,,,,
31,63519,31,0.1846018742887704,0.0,0.8136094674556213,,,,,
32,65568,32,0.16542503950644386,0.0,0.8456973293768546,,,,,
33,67617,33,0.17151628878628075,0.0,0.8219584569732937,,,,,
34,69666,34,0.18027590033357818,0.0,0.806060606060606,,,,,
